links,names,ratings,cuisine,price_for_one
https://www.zomato.com/hyderabad/chutneys-l-b-nagar/order,Chutneys,4,"South Indian, North Indian, Chinese",400
https://www.zomato.com/hyderabad/arun-ice-creams-attapur/order,Arun Ice Creams,4.5,"Ice Cream, Desserts",50
https://www.zomato.com/hyderabad/swiss-castle-abids/order,Swiss Castle,4.3,"Bakery, Fast Food",50
https://www.zomato.com/hyderabad/crystal-restaurant-bar-nallakunta/order,Crystal Restaurant & Bar,3.9,"North Indian, Chinese, Mughlai",50
https://www.zomato.com/hyderabad/kamat-hotel-nampally/order,Kamat Hotel,4.2,"North Indian, South Indian, Chinese",50
https://www.zomato.com/hyderabad/riyan-hotel-nampally/order,Riyan Hotel,3.7,"Mughlai, Biryani",50
https://www.zomato.com/hyderabad/1989-pizza-thick-shakes-dilsukhnagar/order,1989 Pizza & Thick Shake's,4.1,"Fast Food, Pizza, Pasta, Desserts, Beverages, Shake, Coffee",50
https://www.zomato.com/hyderabad/tibbs-frankie-1-himayath-nagar/order,Tibb's Frankie,3.9,Rolls,50
https://www.zomato.com/hyderabad/zomoz-the-momo-company-banjara-hills/order,Zomoz - The Momo Company,4,"Momos, Fast Food",50
https://www.zomato.com/hyderabad/kwality-walls-frozen-dessert-and-ice-cream-shop-3-malakpet/order,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.5,Ice Cream,50
https://www.zomato.com/hyderabad/faasos-wraps-rolls-abids/order,Faasos - Wraps & Rolls,4,"Fast Food, Wraps, North Indian, Desserts, Beverages",50
https://www.zomato.com/hyderabad/sri-sai-raghavendra-udipi-veg-kothapet/order,Sri Sai Raghavendra Udipi Veg,3.9,"South Indian, North Indian",50
https://www.zomato.com/hyderabad/indian-bakery-rajendra-nagar/order,Indian Bakery,4.4,"Bakery, Desserts, Mithai, Fast Food, Pizza, Burger",50
https://www.zomato.com/hyderabad/mohammedia-shawarma-2-mehdipatnam/order,Mohammedia Shawarma,3.7,"Kebab, Street Food, Wraps, Momos, Biryani, Shawarma",150
https://www.zomato.com/hyderabad/wow-momo-himayath-nagar/order,WOW! Momo,4,"Momos, Fast Food, Beverages",150
https://www.zomato.com/hyderabad/yours-universe-bakes-cakes-adikmet/order,Yours Universe - Bakes & Cakes,4.1,"Bakery, Fast Food",150
https://www.zomato.com/hyderabad/eagles-pizza-saroor-nagar/order,Eagles Pizza,4,"Pizza, Fast Food",150
https://www.zomato.com/hyderabad/millet-express-dilsukhnagar/order,Millet Express,4,"Healthy Food, South Indian, North Indian, Biryani, Beverages",150
https://www.zomato.com/hyderabad/thali-central-masab-tank/order,Thali Central,3.7,"Fast Food, North Indian, Healthy Food, Biryani, Desserts, Beverages",150
https://www.zomato.com/hyderabad/ram-ki-bandi-nampally/order,Ram Ki Bandi,4.2,South Indian,150
https://www.zomato.com/hyderabad/bhattad-ki-idli-rambharose-bhandar-kacheguda/order,Bhattad Ki Idli - Rambharose Bhandar,4,South Indian,150
https://www.zomato.com/hyderabad/cafe-niloufer-himayath-nagar/order,Cafe Niloufer,4.4,"Cafe, Beverages, Fast Food, Tea",150
https://www.zomato.com/hyderabad/the-belgian-waffle-co-himayath-nagar/order,The Belgian Waffle Co.,4.4,"Waffle, Desserts, Pancake",150
https://www.zomato.com/hyderabad/hotel-swagath-1-saroor-nagar/order,Hotel Swagath,4.3,"South Indian, Beverages",150
https://www.zomato.com/hyderabad/dadus-himayath-nagar/order,Dadu's,4.4,"Mithai, Desserts, Street Food, Bakery",150
https://www.zomato.com/hyderabad/starbucks-coffee-banjara-hills/order,Starbucks Coffee,4.2,"Cafe, Beverages, Fast Food, Desserts, Tea",350
https://www.zomato.com/hyderabad/fancy-ice-cream-1-charminar/order,Fancy Ice Cream,4.2,"Desserts, Ice Cream",350
https://www.zomato.com/hyderabad/temptations-begum-bazaar/order,Temptations,4.3,"Ice Cream, Desserts, Fast Food, Pizza",350
https://www.zomato.com/hyderabad/almond-house-himayath-nagar/order,Almond House,4.6,"Mithai, Street Food",350
https://www.zomato.com/hyderabad/papaji-da-dhaba-1-amberpet/order,Papaji-Da-Dhaba,4,"North Indian, Mughlai, Chinese, Biryani",350
https://www.zomato.com/hyderabad/taco-bell-malakpet/order,Taco Bell,3.7,"Mexican, Fast Food, Wraps",350
https://www.zomato.com/hyderabad/star-hotel-musheerabad/order,Star Hotel,3.6,"Chinese, Biryani",350
https://www.zomato.com/hyderabad/the-biryani-life-abids/order,The Biryani Life,3.6,"Biryani, North Indian, Fast Food, Beverages, Desserts",350
https://www.zomato.com/hyderabad/ambika-tiffin-center-attapur/order,Ambika Tiffin Center,4.3,South Indian,350
https://www.zomato.com/hyderabad/baskin-robbins-falaknuma/order,Baskin Robbins,4.1,"Ice Cream, Desserts, Waffle",350
https://www.zomato.com/hyderabad/pathemari-kerala-restaurant-nampally/order,Pathemari Kerala Restaurant,4.1,"Kerala, Biryani, South Indian",350
https://www.zomato.com/hyderabad/wow-china-1-banjara-hills/order,WOW! China,4.1,"Chinese, Asian, Sichuan",350
https://www.zomato.com/hyderabad/brownbear-himayath-nagar/order,BrownBear,3.8,"Bakery, Fast Food, Pancake",100
https://www.zomato.com/hyderabad/bikanervala-basheer-bagh/order,Bikanervala,4.3,"Mithai, Street Food, North Indian, South Indian, Fast Food, Beverages, Desserts, Pizza",100
https://www.zomato.com/hyderabad/sri-mahalaxmi-reddy-brothers-tiffins-fast-food-mehdipatnam/order,Sri Mahalaxmi Reddy Brother's Tiffins & Fast Food,4.3,"Chinese, South Indian, Sichuan",100
